time	                CAC40
03/12/1987 01:00	1018.78
04/12/1987 01:00	989.14
07/12/1987 01:00	964.2
08/12/1987 01:00	977.19
09/12/1987 01:00	969.56
10/12/1987 01:00	991.01
11/12/1987 01:00	977.04
14/12/1987 01:00	996.5
15/12/1987 01:00	1016.91
16/12/1987 01:00	1039.43
17/12/1987 01:00	1026.59
18/12/1987 01:00	1019.37
21/12/1987 01:00	1036.78
22/12/1987 01:00	1030.52
23/12/1987 01:00	1046.77
28/12/1987 01:00	1027.79
29/12/1987 01:00	1008.88
30/12/1987 01:00	1011.69
31/12/1987 01:00	1007.45
04/01/1988 01:00	984.64
05/01/1988 01:00	1021.17
06/01/1988 01:00	1032.2
07/01/1988 01:00	1024.62
08/01/1988 01:00	1029.99
11/01/1988 01:00	998.73
12/01/1988 01:00	1002.33
13/01/1988 01:00	972.84
14/01/1988 01:00	972.88
15/01/1988 01:00	1007.86
18/01/1988 01:00	1005.07
19/01/1988 01:00	971.99
20/01/1988 01:00	944.29
21/01/1988 01:00	928.56
22/01/1988 01:00	928.99
25/01/1988 01:00	915.39
26/01/1988 01:00	923.39
27/01/1988 01:00	913.98
28/01/1988 01:00	908.4
29/01/1988 01:00	900.52
01/02/1988 01:00	911.8
02/02/1988 01:00	935.09
03/02/1988 01:00	957.95
04/02/1988 01:00	971.94
05/02/1988 01:00	986.88
08/02/1988 01:00	997.73
09/02/1988 01:00	980.96
10/02/1988 01:00	992.89
11/02/1988 01:00	1028.23
12/02/1988 01:00	1034.42
15/02/1988 01:00	1044.76
16/02/1988 01:00	1052.47
17/02/1988 01:00	1062.63
18/02/1988 01:00	1082.35
19/02/1988 01:00	1096.59
22/02/1988 01:00	1114.74
23/02/1988 01:00	1113.36
24/02/1988 01:00	1101.97
25/02/1988 01:00	1122.62
26/02/1988 01:00	1109.46
29/02/1988 01:00	1116.89
01/03/1988 01:00	1123.82
02/03/1988 01:00	1100.31
03/03/1988 01:00	1084.45
04/03/1988 01:00	1079.51
07/03/1988 01:00	1075.01
08/03/1988 01:00	1068.88
09/03/1988 01:00	1087.67
10/03/1988 01:00	1087.3
11/03/1988 01:00	1064.64
14/03/1988 01:00	1064.92
15/03/1988 01:00	1058.96
16/03/1988 01:00	1064.86
17/03/1988 01:00	1070.54
18/03/1988 01:00	1087.43
21/03/1988 01:00	1079.93
22/03/1988 01:00	1049.63
23/03/1988 01:00	1053.93
24/03/1988 01:00	1060
25/03/1988 01:00	1042.71
28/03/1988 02:00	1020.41
29/03/1988 02:00	1024.24
30/03/1988 02:00	1028.9
31/03/1988 02:00	1016.71
05/04/1988 02:00	1018.57
06/04/1988 02:00	1022.88
07/04/1988 02:00	1035.56
08/04/1988 02:00	1042.75
11/04/1988 02:00	1070.04
12/04/1988 02:00	1077.73
13/04/1988 02:00	1106.35
14/04/1988 02:00	1108.46
15/04/1988 02:00	1092.22
18/04/1988 02:00	1101.55
19/04/1988 02:00	1097.55
20/04/1988 02:00	1098.87
21/04/1988 02:00	1115.58
22/04/1988 02:00	1129.99
25/04/1988 02:00	1107.54
26/04/1988 02:00	1136.98
27/04/1988 02:00	1137.4
28/04/1988 02:00	1141.12
29/04/1988 02:00	1135.01
02/05/1988 02:00	1131.39
03/05/1988 02:00	1132.93
04/05/1988 02:00	1144.82
05/05/1988 02:00	1140.53
06/05/1988 02:00	1133.51
09/05/1988 02:00	1142.12
10/05/1988 02:00	1137.02
11/05/1988 02:00	1132.65
12/05/1988 02:00	1117.16
13/05/1988 02:00	1114.71
16/05/1988 02:00	1114.71
17/05/1988 02:00	1128.45
18/05/1988 02:00	1117.07
19/05/1988 02:00	1113.77
20/05/1988 02:00	1135.72
24/05/1988 02:00	1141.62
25/05/1988 02:00	1180.84
26/05/1988 02:00	1181.84
27/05/1988 02:00	1199.64
30/05/1988 02:00	1221.6
31/05/1988 02:00	1235.78
01/06/1988 02:00	1262.71
02/06/1988 02:00	1246.91
03/06/1988 02:00	1242.44
06/06/1988 02:00	1256.62
07/06/1988 02:00	1259.91
08/06/1988 02:00	1271.78
09/06/1988 02:00	1300.27
10/06/1988 02:00	1292.43
13/06/1988 02:00	1271.54
14/06/1988 02:00	1287.88
15/06/1988 02:00	1291.19
16/06/1988 02:00	1276.76
17/06/1988 02:00	1259.72
20/06/1988 02:00	1261.77
21/06/1988 02:00	1253.77
22/06/1988 02:00	1276.82
23/06/1988 02:00	1287.93
24/06/1988 02:00	1316.43
27/06/1988 02:00	1318.25
28/06/1988 02:00	1300.87
29/06/1988 02:00	1308.12
30/06/1988 02:00	1320.17
01/07/1988 02:00	1326.82
04/07/1988 02:00	1338.26
05/07/1988 02:00	1352.12
06/07/1988 02:00	1368.09
07/07/1988 02:00	1370.23
11/07/1988 02:00	1340.31
12/07/1988 02:00	1325.34
