PERIODE	TEMP
2019-T2	51.0
2019-T1	51.0
2018-T4	51.2
2018-T3	51.0
2018-T2	51.0
2018-T1	51.0
2017-T4	51.1
2017-T3	50.7
2017-T2	50.9
2017-T1	50.5
2016-T4	50.5
2016-T3	50.6
2016-T2	50.6
2016-T1	50.6
2015-T4	50.5
2015-T3	50.5
2015-T2	50.5
2015-T1	50.5
2014-T4	50.5
2014-T3	50.5
2014-T2	50.7
2014-T1	50.8
2013-T4	50.8
2013-T3	50.9
2013-T2	50.8
2013-T1	50.8
2012-T4	51.1
2012-T3	51.1
2012-T2	51.2
2012-T1	51.2
2011-T4	51.2
2011-T3	51.3
2011-T2	51.4
2011-T1	51.4
2010-T4	51.4
2010-T3	51.5
2010-T2	51.5
2010-T1	51.6
2009-T4	51.3
2009-T3	51.5
2009-T2	51.8
2009-T1	52.0
2008-T4	52.3
2008-T3	52.3
2008-T2	52.4
2008-T1	52.5
2007-T4	52.3
2007-T3	52.0
2007-T2	51.8
2007-T1	51.7
2006-T4	51.6
2006-T3	51.5
2006-T2	51.3
2006-T1	51.2
2005-T4	51.3
2005-T3	51.4
2005-T2	51.6
2005-T1	51.6
2004-T4	51.5
2004-T3	51.6
2004-T2	51.5
2004-T1	51.5
2003-T4	51.6
2003-T3	51.7
2003-T2	51.8
2003-T1	52.0
