TIME	Value
2002-12	4.383333
2003-01	4.224091
2003-02	4.012
2003-03	4.098095
2003-04	4.220953
2003-05	3.89381
2003-06	3.693333
2003-07	4.008261
2003-08	4.162857
2003-09	4.23
2003-10	4.283043
2003-11	4.4085
2003-12	4.335714
2004-01	4.198095
2004-02	4.1435
2004-03	3.976087
2004-04	4.182381
2004-05	4.344285
2004-06	4.393091
2004-07	4.272318
2004-08	4.112227
2004-09	4.092182
2004-10	3.975857
2004-11	3.857227
2004-12	3.642739
2005-01	3.575381
2005-02	3.599
2005-03	3.751381
2005-04	3.542762
2005-05	3.376773
2005-06	3.201682
2005-07	3.27
2005-08	3.298478
2005-09	3.132046
2005-10	3.289999
2005-11	3.497204
2005-12	3.378476
2006-01	3.344091
2006-02	3.50805
2006-03	3.685391
2006-04	3.9535
2006-05	4.001364
2006-06	4.006168
2006-07	4.025238
2006-08	3.897478
2006-09	3.769381
2006-10	3.807455
2006-11	3.740991
2006-12	3.809684
2007-01	4.069409
2007-02	4.09597
2007-03	3.996773
2007-04	4.207944
2007-05	4.336848
2007-06	4.618952
2007-07	4.582909
2007-08	4.388881
2007-09	4.356661
2007-10	4.402217
2007-11	4.227727
2007-12	4.354105
2008-01	4.149954
2008-02	4.07919
2008-03	4.0194
2008-04	4.269909
2008-05	4.405857
2008-06	4.733714
2008-07	4.690289
2008-08	4.40181
2008-09	4.361864
2008-10	4.183565
2008-11	3.9767
2008-12	3.5395
2009-01	3.601611
2009-02	3.678137
2009-03	3.647409
2009-04	3.659143
2009-05	3.804453
2009-06	3.899662
2009-07	3.732863
2009-08	3.587429
2009-09	3.586869
2009-10	3.557895
2009-11	3.555156
2009-12	3.475064
2010-01	3.5157
2010-02	3.49805
2010-03	3.437391
2010-04	3.401619
2010-05	3.075667
2010-06	3.073213
2010-07	2.988031
2010-08	2.678455
2010-09	2.678318
2010-10	2.718658
2010-11	2.997419
2010-12	3.341565
2011-01	3.442857
2011-02	3.60325
2011-03	3.609609
2011-04	3.689995
2011-05	3.489244
2011-06	3.43055
2011-07	3.399364
2011-08	2.98446
2011-09	2.644395
2011-10	2.992524
2011-11	3.407547
2011-12	3.158901
2012-01	3.179682
2012-02	3.015762
2012-03	2.954182
2012-04	2.9935
2012-05	2.751821
2012-06	2.569429
2012-07	2.275193
2012-08	2.119435
2012-09	2.237201
2012-10	2.185698
2012-11	2.139682
2012-12	2.010344
2013-01	2.165192
2013-02	2.244584
2013-03	2.070982
2013-04	1.80282
2013-05	1.872818
2013-06	2.210652
2013-07	2.246759
2013-08	2.362364
2013-09	2.48581
2013-10	2.394348
2013-11	2.265
2013-12	2.33075
2014-01	2.384136
2014-02	2.25275
2014-03	2.151857
2014-04	2.025714
2014-05	1.8384
2014-06	1.711857
2014-07	1.559
2014-08	1.406381
2014-09	1.350818
2014-10	1.259783
2014-11	1.1358
2014-12	0.9207727
2015-01	0.6740952
2015-02	0.59685
2015-03	0.5092857
2015-04	0.435
2015-05	0.88885
2015-06	1.195524
2015-07	1.113609
2015-08	1.005053
2015-09	1.004636
2015-10	0.8652273
2015-11	0.8831428
2015-12	0.9312
2016-01	0.84285
2016-02	0.5922857
2016-03	0.5093333
2016-04	0.5142381
2016-05	0.5094286
2016-06	0.3899545
2016-07	0.171381
2016-08	0.1534348
2016-09	0.1836818
2016-10	0.3309
2016-11	0.6673182
2016-12	0.7497619
2017-01	0.8630909
2017-02	1.0307
2017-03	1.021609
2017-04	0.8904706
2017-05	0.8056667
2017-06	0.6640909
2017-07	0.8358948
2017-08	0.7145714
2017-09	0.7
2017-10	0.81
2017-11	0.72
2017-12	0.67
2018-01	0.86
2018-02	0.98
2018-03	0.84
2018-04	0.78
2018-05	0.78
2018-06	0.75
2018-07	0.67
2018-08	0.7
2018-09	0.77
2018-10	0.82
2018-11	0.76
2018-12	0.7
2019-01	0.65
2019-02	0.55
2019-03	0.44
2019-04	0.37
2019-05	0.3
2019-06	0.08
2019-07	-0.07
2019-08	-0.34
2019-09	-0.28
